,Event Date,CIS #,AE,Definite,Entered By,Entered Date,Customer,Adult Guests, Event Menu, Specialty Menu Items, Sweet Treats, Wedding Cake, Coffee + Tea Service, Soft Beverages, Specialty Soft Beverages, Alcoholic Beverages, Wine Service with Dinner, Champagne Toast, Event Personnel, Equipment - TBD, In House Equipment, In House Linens, In House Tables & Chairs, Equipment Rentals, Equipment Rentals - TBD, Venue to Provide, Florals, Florals - Outside, Decor, Tenting, Lighting, Valet, Credit Card Processing Fee, Service Charge, Venue Fee, Gratuity, Delivery, Suggestions & Options, Our Gift to You!, Total Discount,State, Subtotal,Sales Tax
93,2016-04-06,11569,Courtney,12/08/15,Porter,09/29/2015,National Archives Records Administration,125,1893,,,,,1400.0,,6350.0,,,1316,,883.9,,,573,,,1225.0,,,,,,,,,,150,,, 788.6,DC, 4815.9,4522.8
94,2016-04-06,12561,Courtney,01/27/16,Keene,12/21/2015,CFA Society of Washington DC,358,15000,,,,,1400,,6350,,,11994,,5001,,,4108,,,1225,,,,,,,,,,150,,, 4675,DC, 45228, 4522.8
95,2016-04-09,11614,Courtney,01/11/16,Porter,10/01/2015,Mackin,114,3940,,,,,399,,2638,,,4252,,2160.3,,,1330.0,,,,,,,,,,,,,150,,, 750,VA, 13539.3, 1082.44
96,2016-04-14,12463,Courtney,12/15/15,Porter,12/09/2015,DPLA,300,3300,,,,1250.0,600,,1760,,,4032,,2037,,,1330,,,,,,,,,,,,,150,,,,DC, 13209, 1320.9
97,2016-04-15,12464,Courtney,12/15/15,Porter,12/09/2015,DPLA,250,5250,,600.0,,1250,1000,,740.0,,,2786,,1773.95,,,530,,,1060.0,,,,,,,,,,150,,,1330.0,DC, 10966, 1096.6
98,2016-04-17,12449,Courtney,03/10/16,Porter,12/09/2015,Conference Direct,80,3664,,600,,,160,,740,,,2172,,1773.95,,,1260.5,,,1060,,,,,,,,,,150,,, 1330,DC, 11580.45, 1158.05
99,2016-04-19,13655,Courtney,04/11/16,Porter,03/29/2016,National Association for Catering and Events,30,2850.0,,,,150.0,360.0,,,,,1800.0,,1114.2,280.0,,,,,,,,,,,,,,,150.0,,, 3701.1,DC,6704.2,527.65
100,2016-04-21,13260,Courtney,04/19/16,Porter,02/23/2016,Kimpel,60,2850,,,,150,360,,1000.0,,,1800,,1114.2,280,,,,,,,,,,,,,,,150,,,1020.0,VA, 6704.2, 527.65
101,2016-05-06,13954 B,Courtney,05/02/16,Porter,04/26/2016,Crystal City Bid,75,3013.5,215.0,720.0,,,400,,1000,,,1887,,900,,,2780.5,,,,,,,,,,,,500.0,150,,, 1020,VA, 7350.5, 608.57
102,2016-05-07,10215,Courtney,11/19/15,Porter,05/13/2015,Morales,153,5403.5,215,720,,,459,,,,,5302,,1417.05,,,2780.5,,,,,,,,,,,,500,,,, 1190.25,DC, 16797.05, 1629.71
