"Revenue Details By Event"
"Main Event Caterers"
"Event Date Range: 2/11/2017 through 4/12/2017"
"Event Status: Definite, Tentative"
"Business Unit: all"


"BU","Event Type","Event Theme","Customer","Customer ID ","Billing Customer","Event Date","G/C","Event#","AE","Location Name","Food","Food Discount","Coffee Service","Coffee Service Discount","Soft Beverages","Soft Beverages Discount","Alcoholic Beverages","Alcoholic Beverages Discount","Event Personnel","Event Personnel Discount","Equipment","Equipment Discount","Delivery","Delivery Discount","Florals - In House","Florals - In House Discount","Florals - Outside","Florals - Outside Discount","Lighting","Lighting Discount","Entertainment","Entertainment Discount","Valet","Valet Discount","Tenting","Tenting Discount","Other Vendors","Other Vendors Discount","Venue Rental","Venue Rental Discount","Miscellaneous Income","Miscellaneous Income Discount","Gratuity","Gratuity Discount","Credit Card Processing Fee","Credit Card Processing Fee Discount","Venue Fee","Venue Fee Discount","Outside Rentals","Outside Rentals Discount","Promotional","Promotional Discount",Tax,Event Total
"Main Event","Passed HD","Corporate","Hirshhorn Musuem & Sculpture Garden","4221","Hirshhorn Musuem & Sculpture Garden","2/22/2017","875","16456","Tracy","Hirshhorn Musuem & Sculpture Garden",11375,-0,,,2405.50,-0,,,12664,-0,4320.12,-0,75,-0,455,-0,,,,,,,,,,,,,,,,,,,,,,,4270.44,-0,,,"0","35565.06",
"Main Event","Single Plated","Corporate","Hirshhorn Musuem & Sculpture Garden","4221","Hirshhorn Musuem & Sculpture Garden","2/22/2017","132","16457","Tracy","Hirshhorn Musuem & Sculpture Garden",6048,-0,0,-0,0,-0,,,4088,-0,1490.28,-0,150,-0,,,,,0,-0,,,,,,,,,,,,,,,,,,,3274.85,-0,,,"0","15051.13",
"Main Event","Stationary HD","Corporate","Goodwin | Procter","7549","Goodwin | Procter","2/23/2017","30","17632","Sam","Your Office",1020,-0,,,30,-0,420,-0,697.50,-0,363,-0,150,-0,,,,,,,,,,,,,,,,,,,,,73.71,-0,,,,,,,"268.05","3022.26",
"Main Event","Single Plated","Corporate","International Spy Museum","6637","International Spy Museum","2/23/2017","90","17097","Sam","International Spy Museum",2990,-0,0,-0,0,-0,,,1953,-0,967.80,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,200,-0,,,"0","6260.8",
"Main Event","HHD Fork Only","Corporate","Georgetown University Alumni and Student  Federal Credit Union","11145","Georgetown University Alumni and Student  Federal Credit Union","2/24/2017","110","17363","Tracy","National Museum of Natural History",2090,-0,,,295,-0,,,1555,-0,985.80,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","5075.8",
"Main Event","All Day","Corporate","National Guard Association Of U.S.","2827","National Guard Association Of U.S.","2/24/2017","80","17410A","Tracy","National Guard Memorial Museum",3292.50,-0,300,-0,607.50,-0,,,1845,-0,632.80,-0,150,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,"682.78","7510.58",
"Main Event","Lunch Hot","Corporate","National Guard Association Of U.S.","2827","National Guard Association Of U.S.","2/24/2017","90","17410B","Tracy","National Guard Memorial Museum",0,-0,,,0,-0,,,0,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",
"Main Event","HHD Fork Only","Corporate","National Guard Association Of U.S.","2827","National Guard Association Of U.S.","2/24/2017","110","17424","Tracy","National Guard Memorial Museum",3315,-0,,,230,-0,1020,-0,1974,-0,916.47,-0,100,-0,,,,,0,-0,,,,,,,,,,,,,,,,,,,,,,,"755.55","8311.02",
"Main Event","Buffet","Social","Rosenbaum","11242","Rosenbaum","2/24/2017","150","17650","Elyse","Washington National Cathedral",3225,-0,,,450,-0,,,495,-0,1142,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"546.2","6008.2",
"Main Event","Hot Drop Off","Employee Purchase","Thevoz","11111","Thevoz","2/24/2017","130","17262","Daniela","Reston Community Center",0,-0,,,,,,,0,-0,0,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",
"Main Event","HHD Finger Food","Corporate","Georgetown University Law Center","2398","Georgetown University Law Center","2/25/2017","1500","16613","Tracy","National Building Museum",25700,-0,,,675,-0,,,11202,-0,9465,-0,150,-0,1093.75,-0,,,11120.40,-0,,,,,,,2550,-0,,,,,,,,,,,2888.55,-0,,,"0","64844.7",
"Main Event","Hot Drop Off","Social","L'Enfant Cafe","10057","L'Enfant Cafe","2/25/2017","115","16628","Spenc","Capitale",2760,-0,,,,,,,450,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3210",
"Main Event","All Day","Corporate","National Guard Association Of U.S.","2827","National Guard Association Of U.S.","2/25/2017","80","17412A","Tracy","National Guard Memorial Museum",3777.50,-0,225,-0,645,-0,,,1595,-0,816.80,-0,150,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,"720.93","7930.23",
"Main Event","Lunch Hot","Corporate","National Guard Association Of U.S.","2827","National Guard Association Of U.S.","2/25/2017","100","17412B","Tracy","National Guard Memorial Museum",0,-0,,,0,-0,,,0,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",
"Main Event","Buffet","Social","The Go to Girls","8736","The Go to Girls","2/25/2017","17","17385","Spenc","Private Residence",748,-0,,,102,-0,,,675,-0,341.19,-0,150,-0,,,,,,,,,,,,,,,,,,,,,54.05,-0,,,,,,,"145.97","2216.21",
"Main Event","Buffet","Corporate","L'Enfant Cafe","10057","L'Enfant Cafe","2/26/2017","125","16705","Spenc","Capitale - La Boum",3000,-0,,,,,,,450,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3450",
"Main Event","Box Lunch","Drop Off","Garden Club of America","10948","Garden Club of America","2/27/2017","50","16787","Tracy","Smithsonian Greenhouses",850,-0,,,100,-0,,,0,-0,0,-0,65,-0,,,,,,,,,,,,,,,,,,,,,26.80,-0,,,,,,,"95","1136.8",
"Main Event","HHD Fork Only","Corporate","Georgetown University Law Center","2398","Georgetown University Law Center","2/27/2017","35","17486","Tracy","King & Spaulding",805,-0,,,78.75,-0,448,-0,798,-0,490.91,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","2770.66",
"Main Event","Buffet","Corporate","Thurgood Marshall College Fund","4543","Thurgood Marshall College Fund","2/27/2017","50","17106 A","Elyse","The Gallup Building",4636.25,-0,200,-0,543.75,-0,665,-0,2850.50,-0,2851.50,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,365.50,-0,,,"0","12262.5",
"Main Event","Buffet","Corporate","Thurgood Marshall College Fund","4543","Thurgood Marshall College Fund","2/27/2017","50","17106 B","Elyse","The Gallup Building",0,-0,,,0,-0,,,0,-0,0,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",
"Main Event","Buffet","Corporate","Thurgood Marshall College Fund","4543","Thurgood Marshall College Fund","2/27/2017","95","17106 C","Elyse","The Gallup Building",0,-0,,,0,-0,0,-0,0,-0,0,-0,,,0,-0,,,,,,,,,,,,,,,,,,,,,,,0,-0,,,"0","0",
"Main Event","HHD Buffet","Corporate","Deloitte","11140","Deloitte","3/1/2017","40","17354","Sam","Spy Museum",1930,-0,80,-0,160,-0,939,-0,2002.50,-0,1170.80,-0,150,-0,,,,,,,,,,,,,,,,,,,,,54.81,-0,310.90,-0,,,,,"643.23","7441.24",
"Main Event","HHD Fork Only","Corporate","Groom Law Group","4177","Groom Law Group","3/1/2017","50","16515","Mich","Groom Law Offices",1290,-0,,,125,-0,,,801,-0,801,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"316.7","3483.7",
"Main Event","Breakfast","Corporate","Wesley Scott","10032","Wesley Scott","3/1/2017","18","17254","Sam","220 E St., NE",302.50,-0,36,-0,54,-0,,,619,-0,0,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116.15","1277.65",
"Main Event","Room Temp Drop Off","Corporate","Smithsonian Center for Learning & Digital Access","9204","Smithsonian Center for Learning & Digital Access","3/2/2017","15","17685","Tracy","Victor Building",187.50,-0,25,-0,30,-0,,,0,-0,90,-0,75,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","407.5",
"Main Event","Dual Plated","Corporate","State Farm Mutual Automobile Insurance Company","11137","State Farm Mutual Automobile Insurance Company","3/2/2017","14","17348","Sam","Spy Museum",1210,-0,55,-0,82.50,-0,0,-0,1443,-0,598.59,-0,150,-0,195,-0,,,,,,,,,,,,,,,,,,,,,134.75,-0,,,,,"373.41","4242.25",
"Main Event","Dual Plated","Wedding Reception","Allenson","10408","Allenson","3/3/2017","52","15193","Spenc","The Whittemore House",1903,-0,,,,,,,2750,-0,156,-0,150,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"495.9","5454.9",
"Main Event","Staff Only","Corporate","Crowne Plaza Dulles Airport","11262","Crowne Plaza Dulles Airport","3/3/2017","100","17754","Elyse","Crowne Plaza Dulles Airport",,,,,,,,,1416,-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84.96","1500.96",
